   Value:      BST:      AVL:    Splay: 
      1095      1095         6         1
      1096      1096         9         1
      1097      1097         8         1
      1098      1098         9         1
      1099      1099         7         1
      1100      1100         9         1
      1101      1101         8         1
      1102      1102         9         1
      1103      1103         5         1
      1104      1104         9         1
      1105      1105         8         1
      1106      1106         9         1
      1107      1107         7         1
      1108      1108         9         1
      1109      1109         8         1
      1110      1110         9         1
      1111      1111         6         1
      1112      1112         9         1
      1113      1113         8         1
      1114      1114         9         1
      1115      1115         7         1
      1116      1116         9         1
      1117      1117         8         1
      1118      1118         9         1
      1119      1119         4         1
      1120      1120         9         1
      1121      1121         8         1
      1122      1122         9         1
      1123      1123         7         1
      1124      1124         9         1
      1125      1125         8         1
      1126      1126         9         1
      1127      1127         6         1
      1128      1128         9         1
      1129      1129         8         1
      1130      1130         9         1
      1131      1131         7         1
      1132      1132         9         1
      1133      1133         8         1
      1134      1134         9         1
      1135      1135         5         1
      1136      1136         9         1
      1137      1137         8         1
      1138      1138         9         1
      1139      1139         7         1
      1140      1140         9         1
      1141      1141         8         1
      1142      1142         9         1
      1143      1143         6         1
      1144      1144         9         1
      1145      1145         8         1
      1146      1146         9         1
      1147      1147         7         1
      1148      1148         9         1
      1149      1149         8         1
      1150      1150         9         1
      1151      1151         2         1
      1152      1152         9         1
      1153      1153         8         1
      1154      1154         9         1
      1155      1155         7         1
      1156      1156         9         1
      1157      1157         8         1
      1158      1158         9         1
      1159      1159         6         1
      1160      1160         9         1
      1161      1161         8         1
      1162      1162         9         1
      1163      1163         7         1
      1164      1164         9         1
      1165      1165         8         1
      1166      1166         9         1
      1167      1167         5         1
      1168      1168         9         1
      1169      1169         8         1
      1170      1170         9         1
      1171      1171         7         1
      1172      1172         9         1
      1173      1173         8         1
      1174      1174         9         1
      1175      1175         6         1
      1176      1176         9         1
      1177      1177         8         1
      1178      1178         9         1
      1179      1179         7         1
      1180      1180         9         1
      1181      1181         8         1
      1182      1182         9         1
      1183      1183         4         1
      1184      1184         9         1
      1185      1185         8         1
      1186      1186         9         1
      1187      1187         7         1
      1188      1188         9         1
      1189      1189         8         1
      1190      1190         9         1
      1191      1191         6         1
      1192      1192         9         1
      1193      1193         8         1
      1194      1194         9         1
      1195      1195         7         1
      1196      1196         9         1
      1197      1197         8         1
      1198      1198         9         1
      1199      1199         5         1
      1200      1200         9         1
      1201      1201         8         1
      1202      1202         9         1
      1203      1203         7         1
      1204      1204         9         1
      1205      1205         8         1
      1206      1206         9         1
      1207      1207         6         1
      1208      1208         9         1
      1209      1209         8         1
      1210      1210         9         1
      1211      1211         7         1
      1212      1212         9         1
      1213      1213         8         1
      1214      1214         9         1
      1215      1215         3         1
      1216      1216         9         1
      1217      1217         8         1
      1218      1218         9         1
      1219      1219         7         1
      1220      1220         9         1
      1221      1221         8         1
      1222      1222         9         1
      1223      1223         6         1
      1224      1224         9         1
      1225      1225         8         1
      1226      1226         9         1
      1227      1227         7         1
      1228      1228         9         1
      1229      1229         8         1
      1230      1230         9         1
      1231      1231         5         1
      1232      1232         9         1
      1233      1233         8         1
      1234      1234         9         1
      1235      1235         7         1
      1236      1236         9         1
      1237      1237         8         1
      1238      1238         9         1
      1239      1239         6         1
      1240      1240         9         1
      1241      1241         8         1
      1242      1242         9         1
      1243      1243         7         1
      1244      1244         9         1
      1245      1245         8         1
      1246      1246         9         1
      1247      1247         4         1
      1248      1248         9         1
      1249      1249         8         1
      1250      1250         9         1
      1251      1251         7         1
      1252      1252         9         1
      1253      1253         8         1
      1254      1254         9         1
      1255      1255         6         1
      1256      1256         9         1
      1257      1257         8         1
      1258      1258         9         1
      1259      1259         7         1
      1260      1260         9         1
      1261      1261         8         1
      1262      1262         9         1
      1263      1263         5         1
      1264      1264         9         1
      1265      1265         8         1
      1266      1266         9         1
      1267      1267         7         1
      1268      1268         9         1
      1269      1269         8         1
      1270      1270         9         1
      1271      1271         6         1
      1272      1272         9         1
      1273      1273         8         1
      1274      1274         9         1
      1275      1275         7         1
      1276      1276         9         1
      1277      1277         8         1
      1278      1278         9         1
      1279      1279         1         1
      1280      1280         9         1
      1281      1281         8         1
      1282      1282         9         1
      1283      1283         7         1
      1284      1284         9         1
      1285      1285         8         1
      1286      1286         9         1
      1287      1287         6         1
      1288      1288         9         1
      1289      1289         8         1
      1290      1290         9         1
      1291      1291         7         1
      1292      1292         9         1
      1293      1293         8         1
      1294      1294         9         1
      1295      1295         5         1
      1296      1296         9         1
      1297      1297         8         1
      1298      1298         9         1
      1299      1299         7         1
      1300      1300         9         1
      1301      1301         8         1
      1302      1302         9         1
      1303      1303         6         1
      1304      1304         9         1
      1305      1305         8         1
      1306      1306         9         1
      1307      1307         7         1
      1308      1308         9         1
      1309      1309         8         1
      1310      1310         9         1
      1311      1311         4         1
      1312      1312         9         1
      1313      1313         8         1
      1314      1314         9         1
      1315      1315         7         1
      1316      1316         9         1
      1317      1317         8         1
      1318      1318         9         1
      1319      1319         6         1
      1320      1320         9         1
      1321      1321         8         1
      1322      1322         9         1
      1323      1323         7         1
      1324      1324         9         1
      1325      1325         8         1
      1326      1326         9         1
      1327      1327         5         1
      1328      1328         9         1
      1329      1329         8         1
      1330      1330         9         1
      1331      1331         7         1
      1332      1332         9         1
      1333      1333         8         1
      1334      1334         9         1
      1335      1335         6         1
      1336      1336         9         1
      1337      1337         8         1
      1338      1338         9         1
      1339      1339         7         1
      1340      1340         9         1
      1341      1341         8         1
      1342      1342         9         1
      1343      1343         3         1
      1344      1344         9         1
      1345      1345         8         1
      1346      1346         9         1
      1347      1347         7         1
      1348      1348         9         1
      1349      1349         8         1
      1350      1350         9         1
      1351      1351         6         1
      1352      1352         9         1
      1353      1353         8         1
      1354      1354         9         1
      1355      1355         7         1
      1356      1356         9         1
      1357      1357         8         1
      1358      1358         9         1
      1359      1359         5         1
      1360      1360         9         1
      1361      1361         8         1
      1362      1362         9         1
      1363      1363         7         1
      1364      1364         9         1
      1365      1365         8         1
      1366      1366         9         1
      1367      1367         6         1
      1368      1368         9         1
      1369      1369         8         1
      1370      1370         9         1
      1371      1371         7         1
      1372      1372         9         1
      1373      1373         8         1
      1374      1374         9         1
      1375      1375         4         1
      1376      1376         9         1
      1377      1377         8         1
      1378      1378         9         1
